SN,District,School_Name,Type,Status,Boarding,Trade_Count,Accredited_Trades,Not_Accredited_Trades,Reasons
11,GICUMBI,Collegio Santo Antonio Maria Zaccaria TSS,TSS,Gov. Aided,Boarding,5,Building Construction L3-5 | Plumbing Technology L3-5 | Wood Technology L3-5 | Software Development L3-5 | Computer Systems and Architecture L3-5,None,None
12,GICUMBI,GS REBERO TSS,TSS,Public,Day,2,Fashion Design L3-5 | Building Construction L3-5,None,None
13,GICUMBI,BUKURETSS,TSS,Public,Boarding,2,Agriculture L3-5 | Animal Health L3-5,None,None
14,GICUMBI,Good Shepherd VTC,VTC,Private,Day,3,Tailoring L1 | Hairdressing L1 | Culinary Arts L1,None,None
15,GICUMBI,GS MUNYINYA TSS,TSS,Gov. Aided,Day,2,Automobile Technology L3-5 | Electrical Technology L3-5,None,None
16,GICUMBI,IZERE VTC,VTC,Public,Day,1,Welding L1,None,None
17,GICUMBI,EAR KAGEYO VTC,VTC,Private,Mixed (Day and boarding) (Day& Boarding),4,Tailoring L1 | Carpentry L1 | Welding L1 | Masonry L1,None,None
18,GICUMBI,APAPEGI CYURU TSS,TSS,Private,Mixed (Day and boarding) (Day& Boarding),1,Building Construction L3-5,None,None
19,GICUMBI,APEGIRUBUKI TSS,TSS,Private,Mixed (Day and boarding) (Day& Boarding),3,Building Construction L3-5 | Public works L3-5 | Non^^?^,None,None
20,GICUMBI,CYUMBATSS,TSS,Public,Boarding,3,Wood technology L3-5 | Automobile technology L3-5 | Carpentry L1,None,None
21,GICUMBI,SAINT Laurent GASEKE TSS,TSS,Gov. Aided,Boarding,4,Electrical technology L3-5 | Software development L3-5. | Electrical and telecommunication | L3-5,None,None
22,GICUMBI,Rwesero VTC,VTC,Private,Mixed (Day and boarding) (Day& Boarding),3,Masonry L1 | Culinary art L1 | Tailoring L1,None,None
1,GISAGARA,GIKONKO TSS,TSS,PUBLIC,Mixed (Day and boarding) (Day and Boarding),7,Tailoring L1 | Hairdressing L1 | Masonry L1 | Carpentry L1 | Building Construction L3-5 | Electrical Technology L3-5 | Software Development L3-5,None,None
2,GISAGARA,MUSHA ADVENTIST TSS,TSS,Government- aided,Boarding,12,Building Construction L3-5 | Electrical Technology L3-5 | None fe\ | Page 19 of 80	Wg | K	*	MAWOMAL « I a MM4AHQR | MESA | District | School Name | Type (TSS/VTC) | Status | Boarding status | (Re)_Accredited trades,Not (Re)_Accredited trades,Reasons for not reaccreditation
3,GISAGARA,KIGEMBE TSS,TSS,Public,Day,6,Tailoring L1 | Fashion Design L3-5 | Building Construction L3-5 | Wood Technology L3-5 | Masonry LI | Carpentry L1,None,None
4,GISAGARA,GS KINTEKO,TSS,Public,Day,2,Building Construction L3-5 | Agriculture L3-5,None,None
5,GISAGARA,COLLEGE ST,JOSEPH KANSI,TSS,Government- aided,5,Boarding | Building Construction L3-5 | Plumbing Technology L3-5 | Electrical Technology L3-5 | Software Development L3-5,None,None
6,GISAGARA,MUGOMBWA TSS,TSS,Public,Day,5,Building Construction L3-5 | Masonry L1 | Electrical Technology L3-5 | Fashion Design L3-5 | Tailoring LI,None,None
7,GISAGARA,ES MAMBA,TSS,Public,Day,2,Food And Beverage Operations L3-5 | Agriculture L3-5,None,None
8,GISAGARA,ST KIZITO SAVE TSS,TSS,Government- aided,Boarding,11,Wood Technology L3-5 | Multimedia Production L3-5 | Computer Systems and | Architecture L3-5 | Software Development L3-5 | Electronic and | Telecommunication L3-5 | Public Works L3-5 | Land Surveying L3-5 | Building Construction L3-5 | Electrical Technology L3-5	/ ',\	1 <1,Page 20 of 80	\	\
11,GISAGARA,ES MAGI TSS,TSS,Public,Day,2,Manufacturing Technology L3-5 | Building Construction L3-5,None,None
12,GISAGARA,ES MUGANZA TSS,TSS,Public,Day,2,Manufacturing Technology L3-5 | Building Construction L3-5,None,1. Tailoring L1
13,GISAGARA,EUGENIE SMET TSS,TSS,Government- aided,Day,13,Masonry L1 | Wood Technology L3-5 | Carpentry L1 | (II) | B	B MATTOMAL rUMMKATIOM | AMO KNOCK. MMCHCm | ■ B	AVTXOWW | District | School Name | Type (TSS/VTC) | Status | Boarding status | (Re)_Accredited trades,Not (Re)_Accredited trades,Reasons for not reaccreditation
1,KAYONZA,KAYONZA TSS,TSS,PRIVATE,Mixed (Day and boarding),2,Culinary arts L1 | Food and Beverage Operations L3-5,None,None
2,KAYONZA,Mukarange VTC,VTC,Public,Day,2,Tailoring L1 | Welding L1,None,None
3,KAYONZA,SOS HERMANN GMEINER KAYONZA SCHOOL,VTC,Private,Mixed (Day and boarding),2,Tailoring L1 | Carpentry L1,None,Page 23 of 80	. X
4,KAYONZA,SACO A COMPLEX,VTC,Private,Day,4,Tailoring L1 | Hairdressing L1 | Culinary Art L1 | Masonry L1,None,None
